"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"U1";"lcd_20x4";1;"LCD 20x4";;;
2;"S-DTH1";"S-DTH-horizontal";1;" ";;;
3;"A1";"Arduino_Nano";1;"Arduino_Nano";;;
4;"D1";"LED_0805_2012Metric_Castellated";1;"LED";;;
5;"R1,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1k";;;
6;"RTC1";"PinHeader_1x04_P2.54mm_Vertical";1;" ";;;
7;"SD1";"PinHeader_1x06_P2.54mm_Vertical";1;" ";;;
8;"Sensor1";"JST_XH_B04B-XH-A_1x04_P2.50mm_Vertical";1;" ";;;
9;"C1";"CP_Elec_10x10";1;"470uf 35v";;;
10;"C2";"CP_Elec_8x10";1;"220uf 35v";;;
11;"D2";"D_SMA";1;"1N5825";;;
12;" ";"mstbva_2,5-2-g-5,08";1;"V int";;;
13;"L1";"L_7.3x7.3_H4.5";1;"68uH";;;
14;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"6.8K";;;
15;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1K";;;
16;"TP1";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"TestPoint_2Pole";;;
17;"U2";"TO-263-5_TabPin3";1;"LM2596S-ADJ";;;
18;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"390";;;
19;"RV1";"Reostato";1;"Reostato";;;
20;"";"logofiruxsmall";1;"";;;
21;"REF**";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo_4.2x6mm_SilkScreen";;;
22;"G***";"logofirux";1;"LOGO";;;
23;"REF**";"KiCad-Logo2_12mm_SilkScreen";1;"KiCad-Logo2_12mm_SilkScreen";;;
